segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels
SEG-00569,"Lima, Peru",District 25,-12.123887,-77.002131,CAT-177,-3,Copernicus_GLO-30_v2023,Commercial,,7.33,113.2,GratedInlet,ERA5,39.7,5,low_lying
SEG-00570,"Philadelphia, USA",Ward J,39.948152,-75.208126,CAT-162,8.68,Copernicus_EEA-10_v5,Residential,D,7.66,168.4,CurbInlet,IMD,48.6,10,monitor
SEG-00571,"Mexico City, Mexico",Sector 14,19.474703,-99.216335,CAT-100,6.02,SRTM_1arc,Commercial,D,,74.1,GratedInlet,ERA5,36,5,low_lying
SEG-00572,"Auckland, New Zealand",Zone IX,-36.845287,174.804366,CAT-140,-3,SRTM_1arc,Industrial,B,6.59,,GratedInlet,ERA5,49.5,25,low_lying|event_2022-08-01
SEG-00573,"Rio de Janeiro, Brazil",Zone VIII,-22.836778,-43.136778,CAT-026,6.21,Copernicus_GLO-90_v2022,Commercial,B,7.6,18.9,Manhole,LocalGauge,114.3,25,ponding_hotspot|extreme_rain_history|low_lying
SEG-00574,"Colombo, Sri Lanka",Ward B,6.916385,79.909313,CAT-127,13.54,SRTM_1arc,Residential,,8.03,,Manhole,ERA5,42,25,monitor
SEG-00575,"Bogotá, Colombia",Borough Delta,4.779081,-73.966649,CAT-152,162.64,Copernicus_GLO-90_v2022,Institutional,D,6.93,,GratedInlet,,30.7,50,monitor
SEG-00576,"Barcelona, Spain",District 27,41.249273,2.106402,CAT-117,15.9,Copernicus_EEA-10_v5,Commercial,B,5.35,64.9,GratedInlet,ERA5,28.4,100,monitor
SEG-00577,"New Orleans, USA",Sector 12,29.797916,-90.173499,CAT-035,5.78,Copernicus_EEA-10_v5,Green,C,1.61,,Manhole,Blended,20.4,10,low_lying|sparse_drainage|event_2024-09-20
SEG-00578,"Rome, Italy",Ward J,41.90263,12.603663,CAT-070,17.51,SRTM_1arc,Residential,A,3.09,97.1,Manhole,LocalGauge,55.3,2,monitor
SEG-00579,"Sydney, Australia",Borough North,-33.781413,151.287487,CAT-089,10.54,Copernicus_GLO-30_v2023,Roads,D,9.32,18.8,GratedInlet,ERA5,27.4,10,monitor
SEG-00580,"Hamburg, Germany",District 11,53.572863,10.003167,CAT-078,85.39,SRTM_1arc,Commercial,,4.49,236.8,OpenChannel,Blended,44.8,2,monitor
SEG-00581,"Montreal, Canada",Sector 19,45.404999,-73.668635,CAT-028,20.34,Copernicus_GLO-30_v2023,Commercial,B,6.14,90.2,Manhole,Blended,31.5,10,monitor
SEG-00582,"San Francisco, USA",Borough Old Town,37.74768,-122.4196,CAT-157,51.19,Copernicus_EEA-10_v5,Commercial,A,9.18,6.4,CurbInlet,,66.6,5,monitor
SEG-00583,"Ahmedabad, India",Borough Harbor,22.868325,72.681198,CAT-098,16.6,Copernicus_EEA-10_v5,Commercial,B,5.45,,Manhole,ERA5,44.8,5,monitor
SEG-00584,"Washington DC, USA",Borough East,38.868676,-76.914202,CAT-140,50,Copernicus_EEA-10_v5,Commercial,B,,262.4,None,ERA5,30.8,25,monitor
SEG-00585,"Sydney, Australia",Sector 25,-33.844943,151.206241,CAT-067,11.09,Copernicus_GLO-30_v2023,Residential,D,4.96,95.6,CurbInlet,ERA5,25.4,2,monitor
SEG-00586,"Taipei, Taiwan",Zone VII,24.982903,121.51752,CAT-142,66,Copernicus_EEA-10_v5,Residential,C,6.13,,GratedInlet,LocalGauge,39.3,2,monitor
SEG-00587,"Ahmedabad, India",District 22,22.960969,72.685001,CAT-137,108.51,Copernicus_EEA-10_v5,Roads,B,5.83,,Manhole,LocalGauge,19,25,monitor
SEG-00588,"Delhi, India",Zone IX,28.514671,77.269901,CAT-090,5.1,Copernicus_GLO-30_v2023,Roads,C,10.31,76.2,Manhole,ERA5,22.8,5,low_lying
SEG-00589,"Miami, USA",District 9,25.678838,-80.202161,CAT-060,6.44,Copernicus_EEA-10_v5,Industrial,B,6.92,7.3,Manhole,Blended,56.2,2,low_lying
SEG-00590,"Durban, South Africa",Zone IX,-29.920951,30.815061,CAT-104,25.6,SRTM_3arc,Industrial,B,4.42,95.2,Manhole,ERA5,20.7,50,monitor
SEG-00591,"Bengaluru, India",Borough Hillside,12.951546,77.590592,CAT-042,23.83,SRTM_1arc,Industrial,A,6.89,67.1,Manhole,ERA5,12.8,2,monitor
SEG-00592,"Sao Paulo, Brazil",Sector 3,-23.568287,-46.594212,CAT-120,89.76,Copernicus_EEA-10_v5,Roads,A,7.43,48.6,CurbInlet,ERA5,71.9,5,monitor
SEG-00593,"Rome, Italy",Sector 22,41.953993,12.477547,CAT-065,3.13,Copernicus_EEA-10_v5,Industrial,C,7.21,,Manhole,Blended,30.7,2,low_lying
SEG-00594,"Dhaka, Bangladesh",District 6,23.757532,90.45494,CAT-038,87.97,SRTM_3arc,Industrial,B,,227.1,OpenChannel,ERA5,60.3,10,monitor
SEG-00595,"Seoul, South Korea",Zone V,37.556529,126.903643,CAT-069,56.08,SRTM_1arc,Residential,D,7.91,114.2,OpenChannel,Blended,14.8,50,monitor
SEG-00596,"Copenhagen, Denmark",Borough Central,55.603629,12.561082,CAT-010,57.29,Copernicus_GLO-30_v2023,Roads,,4.33,82.4,OpenChannel,ERA5,27.9,5,monitor
SEG-00597,"Ho Chi Minh City, Vietnam",Sector 21,10.747546,106.631158,CAT-037,-3,SRTM_1arc,Commercial,D,8.58,51.5,Manhole,ERA5,37.6,2,ponding_hotspot|low_lying
SEG-00598,"Bengaluru, India",Zone VIII,12.925997,77.557958,CAT-022,77.8,Copernicus_EEA-10_v5,Roads,C,10.38,124.8,Manhole,LocalGauge,49.1,5,monitor
SEG-00599,"Mexico City, Mexico",Sector 30,19.393113,-99.061427,CAT-041,49.8,Copernicus_GLO-30_v2023,Residential,B,2.56,38.1,None,,16.7,2,sparse_drainage
SEG-00600,"Philadelphia, USA",Zone I,39.925268,-75.054709,CAT-054,64.94,SRTM_1arc,Roads,,10.06,259.5,OpenChannel,LocalGauge,19.5,5,monitor
SEG-00601,"Tokyo, Japan",District 19,35.620389,139.643584,CAT-107,0.07,SRTM_1arc,Residential,C,3.43,20.8,None,Blended,33.5,2,ponding_hotspot|low_lying
SEG-00602,"Hanoi, Vietnam",Sector 12,21.006476,105.942706,CAT-089,113.21,SRTM_1arc,Industrial,D,8.24,81.9,Manhole,ERA5,31.5,100,monitor
SEG-00603,"Dubai, UAE",Zone VII,25.122588,55.39583,CAT-060,36.63,SRTM_1arc,Roads,C,8.43,23.4,CurbInlet,LocalGauge,6.8,10,monitor
SEG-00604,"Houston, USA",Ward B,29.730955,-95.322082,CAT-102,86.6,SRTM_1arc,Residential,D,3.27,395.8,OpenChannel,ERA5,41.1,10,monitor
SEG-00605,"Dhaka, Bangladesh",Sector 26,23.923904,90.468239,CAT-021,26.17,Copernicus_GLO-30_v2023,Industrial,,,140.8,Manhole,Blended,36.1,2,monitor
SEG-00606,"Hamburg, Germany",Sector 20,53.501197,10.048665,CAT-046,21.39,Copernicus_GLO-90_v2022,Roads,C,4.08,447.1,None,Blended,40.8,5,monitor
SEG-00607,"Copenhagen, Denmark",District 7,55.77711,12.547938,CAT-008,0.43,Copernicus_GLO-90_v2022,Roads,A,,92.1,Manhole,IMD,16.2,10,low_lying
SEG-00608,"Dhaka, Bangladesh",Sector 14,23.792503,90.411199,CAT-173,,Copernicus_GLO-30_v2023,Commercial,,9.18,12.7,GratedInlet,LocalGauge,51.4,10,monitor
SEG-00609,"Rome, Italy",Zone IX,41.857669,12.587619,CAT-084,27.84,SRTM_1arc,Informal,D,9.42,463.5,None,IMD,56.9,25,monitor
SEG-00610,"Paris, France",Sector 27,48.866111,2.290553,CAT-161,78.32,Copernicus_GLO-30_v2023,Green,,5.49,27.5,CurbInlet,ERA5,57.6,10,monitor
SEG-00611,"Delhi, India",Ward I,28.569599,77.120234,CAT-039,35.69,Copernicus_GLO-30_v2023,Residential,C,4.59,38.1,CurbInlet,ERA5,35.2,2,monitor
SEG-00612,"Bengaluru, India",Zone VI,13.011788,77.531957,CAT-180,56.03,Copernicus_GLO-30_v2023,Commercial,B,6.48,360.6,OpenChannel,IMD,46.7,5,monitor
SEG-00613,"Hanoi, Vietnam",Sector 6,21.128703,105.855087,CAT-120,-0.36,Copernicus_GLO-30_v2023,Green,D,4.47,462.7,OpenChannel,,55.1,50,ponding_hotspot|low_lying
SEG-00614,"Hamburg, Germany",District 1,53.625213,10.029828,CAT-153,17.3,Copernicus_GLO-30_v2023,Residential,,3.35,231.3,OpenChannel,,45.1,5,monitor
SEG-00615,"Rio de Janeiro, Brazil",Ward E,-22.827474,-43.151841,CAT-036,7.9,Copernicus_EEA-10_v5,Commercial,C,9.1,161.2,OpenChannel,ERA5,55.5,5,low_lying
SEG-00616,"Lagos, Nigeria",District 2,6.616109,3.350403,CAT-096,-3,SRTM_3arc,Industrial,D,3.97,126.3,CurbInlet,IMD,88.8,25,ponding_hotspot|extreme_rain_history|low_lying
SEG-00617,"Accra, Ghana",Zone V,5.593634,-0.182098,CAT-012,5.71,SRTM_3arc,Roads,D,10.1,,CurbInlet,Blended,65.3,10,low_lying|event_2022-06-25
SEG-00618,"Auckland, New Zealand",Ward F,-36.929847,174.763748,CAT-027,61.1,SRTM_3arc,Residential,B,4.11,283.8,OpenChannel,ERA5,40.1,2,monitor
SEG-00619,"New Orleans, USA",Borough East,29.880213,-89.982476,CAT-024,12.5,SRTM_1arc,Residential,A,5.33,79,Manhole,LocalGauge,22.3,10,monitor
SEG-00620,"San Francisco, USA",Zone VI,37.695517,-122.400306,CAT-083,-3,Copernicus_GLO-30_v2023,Residential,,8.47,38.4,GratedInlet,ERA5,50.3,50,low_lying
SEG-00621,"San Francisco, USA",Sector 28,37.655403,-122.424232,CAT-033,58.9,Copernicus_GLO-30_v2023,Roads,A,7.87,146,OpenChannel,IMD,30.1,2,monitor
SEG-00622,"Colombo, Sri Lanka",Sector 26,6.965006,79.861194,CAT-104,13.19,SRTM_1arc,Residential,D,4.02,88.5,Manhole,IMD,72.3,10,monitor
SEG-00623,"New York, USA",District 9,40.663617,-73.940983,CAT-123,38.12,Copernicus_GLO-30_v2023,Industrial,B,4.86,87.2,CurbInlet,IMD,18.8,10,monitor
SEG-00624,"Rome, Italy",Ward G,42.009736,12.572159,CAT-090,14.7,Copernicus_GLO-30_v2023,Water,C,4.34,301.4,GratedInlet,Blended,20.6,10,monitor
SEG-00625,"Chennai, India",Ward D,13.120171,80.39711,CAT-100,4.96,SRTM_3arc,Industrial,A,7.08,205,None,Blended,40.3,25,low_lying
SEG-00626,"Ahmedabad, India",Zone X,23.052291,72.461573,CAT-056,60.3,SRTM_3arc,Residential,C,3.95,186.7,GratedInlet,LocalGauge,57.5,25,monitor
SEG-00627,"Karachi, Pakistan",District 12,24.830144,67.025476,CAT-154,-3,Copernicus_GLO-30_v2023,Water,A,6.74,147.5,GratedInlet,ERA5,27.4,2,low_lying
SEG-00628,"Barcelona, Spain",District 23,41.211432,2.109194,CAT-078,10.29,Copernicus_EEA-10_v5,Green,C,2.92,104.3,OpenChannel,ERA5,43.4,25,sparse_drainage
SEG-00629,"Osaka, Japan",Ward F,34.547845,135.516497,CAT-053,87.14,Copernicus_GLO-30_v2023,Commercial,A,7.98,29.7,GratedInlet,ERA5,24.9,25,monitor
SEG-00630,"Houston, USA",Sector 18,29.653301,-95.425304,CAT-119,71.28,Copernicus_GLO-30_v2023,Residential,,5.94,52.5,Manhole,Blended,30.7,5,monitor
SEG-00631,"Shenzhen, China",Ward I,22.45687,114.213275,CAT-019,-3,Copernicus_GLO-90_v2022,Commercial,D,9.55,40.1,GratedInlet,LocalGauge,96,2,ponding_hotspot|extreme_rain_history|low_lying
SEG-00632,"Dhaka, Bangladesh",Zone III,23.822366,90.352225,CAT-114,-3,Copernicus_GLO-30_v2023,Commercial,A,7.74,5.5,OpenChannel,ERA5,39.5,5,low_lying
SEG-00633,"London, UK",Borough Hillside,51.545199,-0.122036,CAT-068,30.33,Copernicus_GLO-30_v2023,Residential,D,7.8,46.1,CurbInlet,Blended,36.5,25,monitor
SEG-00634,"Vancouver, Canada",District 30,49.192106,-123.270287,CAT-156,22.95,Copernicus_GLO-30_v2023,Residential,D,5.71,164.6,None,Blended,26.4,50,monitor
SEG-00635,"Miami, USA",Sector 16,25.727049,-80.122735,CAT-098,7.34,Copernicus_EEA-10_v5,Roads,B,,47.1,GratedInlet,ERA5,149.5,50,ponding_hotspot|extreme_rain_history|low_lying|event_2025-07-02
SEG-00636,"Washington DC, USA",Zone V,38.859685,-76.977323,CAT-047,30.07,Copernicus_GLO-30_v2023,Industrial,B,5.5,61.8,GratedInlet,ERA5,18.6,25,monitor
SEG-00637,"Hamburg, Germany",Ward H,53.507634,9.948713,CAT-072,9.81,SRTM_1arc,Commercial,B,4.9,30.4,GratedInlet,LocalGauge,28.7,5,monitor
SEG-00638,"Washington DC, USA",Borough Riverside,38.876307,-77.06297,CAT-077,69.8,Copernicus_GLO-90_v2022,Commercial,B,4.37,68.1,OpenChannel,ERA5,28.8,5,monitor
SEG-00639,"Doha, Qatar",District 12,25.371948,51.438038,CAT-029,79.74,SRTM_1arc,Residential,D,7.27,57.4,GratedInlet,ERA5,11.8,10,monitor
SEG-00640,"Vancouver, Canada",Sector 7,49.197153,-123.216684,CAT-054,8.05,Copernicus_EEA-10_v5,Roads,B,3.98,12.7,Manhole,ERA5,74,100,monitor
SEG-00641,"Singapore, Singapore",Zone II,1.297866,103.645443,CAT-040,21.73,SRTM_1arc,Residential,A,,205.3,OpenChannel,LocalGauge,68,2,monitor
SEG-00642,"Dhaka, Bangladesh",Ward K,23.723479,90.2893,CAT-034,120.63,Copernicus_GLO-30_v2023,Roads,C,9.66,60.4,GratedInlet,IMD,50,2,monitor
SEG-00643,"Bengaluru, India",Borough Old Town,12.970835,77.602844,CAT-094,88.37,Copernicus_GLO-30_v2023,Residential,,2.99,138.1,Manhole,Blended,40.6,5,sparse_drainage|event_2024-01-05
SEG-00644,"Delhi, India",Borough Central,28.530066,77.246917,CAT-095,-3,Copernicus_GLO-30_v2023,Roads,D,4.87,85.9,Manhole,ERA5,21.6,25,ponding_hotspot|low_lying
SEG-00645,"Philadelphia, USA",Zone V,39.963861,-75.125059,CAT-018,65.99,Copernicus_EEA-10_v5,Roads,A,8.53,,GratedInlet,LocalGauge,33.1,10,monitor
SEG-00646,"Doha, Qatar",Zone II,25.324283,51.587106,CAT-039,40.23,Copernicus_GLO-30_v2023,Mixed,,5.58,199.5,OpenChannel,ERA5,13.1,10,monitor
SEG-00647,"Athens, Greece",Borough Old Town,37.961692,23.754627,CAT-027,7.94,Copernicus_GLO-30_v2023,Commercial,D,,58.4,CurbInlet,Blended,20.2,5,low_lying
SEG-00648,"Ahmedabad, India",Zone IX,23.100636,72.610165,CAT-063,59.62,SRTM_1arc,Residential,B,4.5,39.8,Manhole,ERA5,21.6,2,monitor
SEG-00649,"Kuala Lumpur, Malaysia",Ward D,3.215749,101.746824,CAT-086,51.92,SRTM_1arc,Roads,A,4.94,94.5,CurbInlet,ERA5,138.4,10,extreme_rain_history
SEG-00650,"Riyadh, Saudi Arabia",Zone VIII,24.656836,46.608665,CAT-027,16.51,Copernicus_EEA-10_v5,Green,A,3.27,221.3,CurbInlet,ERA5,17.2,2,monitor
SEG-00651,"Rio de Janeiro, Brazil",Sector 15,-22.940329,-43.113132,CAT-124,9.35,SRTM_1arc,Residential,B,7.13,31.3,Manhole,ERA5,113.1,10,extreme_rain_history
SEG-00652,"Karachi, Pakistan",District 5,24.933147,67.016084,CAT-024,94.83,Copernicus_GLO-30_v2023,Roads,B,5.31,,OpenChannel,Blended,28.9,5,monitor
SEG-00653,"Barcelona, Spain",Sector 29,41.331471,2.202911,CAT-114,11.11,Copernicus_GLO-30_v2023,Commercial,,5.46,102.2,GratedInlet,ERA5,27.8,2,monitor
SEG-00654,"Accra, Ghana",Ward C,5.566433,-0.221917,CAT-032,11.47,Copernicus_GLO-90_v2022,Residential,C,4.34,39.1,OpenChannel,Blended,61.7,25,monitor
SEG-00655,"Tehran, Iran",Sector 12,35.65908,51.323983,CAT-092,86.31,Copernicus_GLO-30_v2023,Water,D,6.37,183.8,CurbInlet,IMD,55.5,10,monitor
SEG-00656,"San Francisco, USA",Ward K,37.716087,-122.341944,CAT-067,63.6,Copernicus_GLO-90_v2022,Residential,C,3.21,179.6,Manhole,ERA5,36,10,monitor
SEG-00657,"Paris, France",District 12,48.733852,2.306346,CAT-062,74.7,SRTM_1arc,Roads,C,6.73,71.1,Manhole,ERA5,17,5,monitor
SEG-00658,"Cape Town, South Africa",Borough West,-33.939786,18.361097,CAT-143,115.2,Copernicus_GLO-30_v2023,Residential,D,,177,OpenChannel,ERA5,16.1,10,monitor
SEG-00659,"Durban, South Africa",Ward F,-30.023547,31.128908,CAT-080,-3,SRTM_1arc,Roads,B,5.41,40.5,CurbInlet,,46.8,10,low_lying
SEG-00660,"Sao Paulo, Brazil",Borough Central,-23.653911,-46.666966,CAT-106,77.69,Copernicus_GLO-90_v2022,Residential,B,5.33,,CurbInlet,ERA5,37.9,2,monitor
SEG-00661,"Seoul, South Korea",Ward F,37.554751,126.972007,CAT-094,-3,Copernicus_GLO-30_v2023,Roads,C,8.51,62.5,GratedInlet,,70.3,50,ponding_hotspot|low_lying|event_2022-12-18
SEG-00662,"Shenzhen, China",Zone IX,22.598464,113.977979,CAT-156,9.57,Copernicus_EEA-10_v5,Residential,B,4.86,69.2,Manhole,IMD,44.7,50,monitor
SEG-00663,"Mumbai, India",Zone X,19.080762,72.795554,CAT-079,-2.8,Copernicus_GLO-30_v2023,Residential,D,4.08,141.6,Manhole,LocalGauge,41.5,25,ponding_hotspot|low_lying
SEG-00664,"Cape Town, South Africa",Zone VI,-33.827695,18.397607,CAT-076,,SRTM_1arc,Roads,C,8.04,28.8,Manhole,LocalGauge,49.5,25,monitor
SEG-00665,"Amsterdam, Netherlands",District 7,52.318933,5.087657,CAT-122,18.79,Copernicus_GLO-30_v2023,Commercial,B,,85.6,CurbInlet,IMD,40.8,5,monitor
SEG-00666,"Rome, Italy",Ward E,42.032416,12.493229,CAT-017,41.3,SRTM_1arc,Institutional,B,3.01,184.3,CurbInlet,ERA5,37.1,50,monitor
SEG-00667,"Tokyo, Japan",District 17,35.672686,139.679858,CAT-180,25.71,SRTM_1arc,Industrial,A,4.98,16.5,OpenChannel,Blended,25.6,10,monitor
SEG-00668,"Montreal, Canada",Zone V,45.509106,-73.484677,CAT-049,75.53,SRTM_1arc,Commercial,B,7.97,138.1,CurbInlet,ERA5,56.3,5,monitor
SEG-00669,"Seoul, South Korea",Sector 22,37.633209,126.948871,CAT-140,54.21,SRTM_1arc,Industrial,B,,61.4,CurbInlet,,53.8,2,monitor
SEG-00670,"Tokyo, Japan",Zone VI,35.62683,139.53682,CAT-062,-3,Copernicus_EEA-10_v5,Residential,A,6.41,111,Manhole,ERA5,33.9,5,low_lying
SEG-00671,"Kolkata, India",Ward A,22.57244,88.30154,CAT-026,10.16,SRTM_3arc,Commercial,B,10.15,89.1,CurbInlet,Blended,55.2,10,monitor
SEG-00672,"Nairobi, Kenya",Borough East,-1.319528,36.823379,CAT-172,53.02,SRTM_1arc,Commercial,C,5.2,26.6,CurbInlet,IMD,17.8,50,monitor
SEG-00673,"Chennai, India",Ward C,13.113856,80.371556,CAT-104,6.88,SRTM_3arc,Residential,B,5.16,51.8,GratedInlet,Blended,70.3,10,low_lying
SEG-00674,"Bangkok, Thailand",Borough West,13.873456,100.35958,CAT-030,0.56,Copernicus_EEA-10_v5,Commercial,,8.26,365.9,OpenChannel,IMD,69.3,50,low_lying
SEG-00675,"Rotterdam, Netherlands",Sector 28,51.951031,4.387465,CAT-015,-0.06,SRTM_1arc,Green,D,5.57,276,Manhole,ERA5,21.5,10,low_lying
SEG-00676,"Houston, USA",District 22,29.918555,-95.299258,CAT-162,42.01,SRTM_3arc,Green,D,4.78,107.5,CurbInlet,ERA5,50.2,10,monitor
SEG-00677,"Ho Chi Minh City, Vietnam",Sector 17,10.83953,106.659697,CAT-104,63.85,Copernicus_GLO-30_v2023,Roads,C,,388,OpenChannel,ERA5,54.9,50,monitor
SEG-00678,"Tehran, Iran",Sector 4,35.620812,51.37742,CAT-140,152.65,SRTM_1arc,Residential,A,8.46,63.1,Manhole,ERA5,12.8,5,monitor
SEG-00679,"Pune, India",Borough West,18.652679,73.99192,CAT-180,27.19,SRTM_1arc,Industrial,B,5.57,305.3,OpenChannel,ERA5,59.4,5,monitor
SEG-00680,"Manila, Philippines",Sector 19,14.533617,120.898454,CAT-069,15.02,Copernicus_GLO-30_v2023,Residential,,7.6,62.9,Manhole,LocalGauge,50.5,100,monitor
SEG-00681,"Dhaka, Bangladesh",Sector 15,23.660339,90.451229,CAT-068,40.64,SRTM_1arc,Residential,C,3.38,405.7,OpenChannel,ERA5,68.5,10,monitor
SEG-00682,"Karachi, Pakistan",Sector 23,24.914301,66.882778,CAT-130,9.2,SRTM_1arc,Commercial,A,9.14,217.9,OpenChannel,LocalGauge,35.1,5,monitor
SEG-00683,"Tehran, Iran",Borough Hillside,35.73631,51.363667,CAT-032,253.88,Copernicus_GLO-30_v2023,Industrial,C,9.79,530.4,None,Blended,34.3,2,monitor
SEG-00684,"Montreal, Canada",Sector 12,45.487647,-73.753286,CAT-099,81.28,SRTM_1arc,Commercial,B,5.49,96.5,Manhole,IMD,28.6,10,monitor
SEG-00685,"Amsterdam, Netherlands",District 26,52.379491,4.881455,CAT-067,15.59,Copernicus_GLO-30_v2023,Industrial,B,6.26,38.8,GratedInlet,IMD,25.7,5,monitor
SEG-00686,"Karachi, Pakistan",Zone VII,24.882304,67.010255,CAT-023,2.7,SRTM_1arc,Roads,C,3.87,81.6,CurbInlet,ERA5,23.9,10,low_lying
SEG-00687,"Istanbul, Türkiye",District 2,41.040132,29.006163,CAT-116,,Copernicus_GLO-30_v2023,Industrial,C,6.84,33.4,Manhole,LocalGauge,26.5,25,monitor
SEG-00688,"Durban, South Africa",District 29,-29.821433,31.066605,CAT-075,59.62,SRTM_3arc,Roads,C,7.18,110.3,Manhole,IMD,24.3,5,monitor
SEG-00689,"Singapore, Singapore",Borough Old Town,1.348403,103.908228,CAT-170,13.22,Copernicus_EEA-10_v5,Mixed,C,5.97,68.9,GratedInlet,ERA5,42.6,10,monitor
SEG-00690,"Taipei, Taiwan",Ward G,25.074434,121.446602,CAT-083,61.21,SRTM_3arc,Commercial,C,7.61,61,GratedInlet,IMD,53.2,10,monitor
SEG-00691,"Seoul, South Korea",Ward K,37.580087,126.995149,CAT-046,,Copernicus_GLO-30_v2023,Roads,,5.29,189.2,GratedInlet,,59.9,10,monitor
SEG-00692,"Tehran, Iran",Borough North,35.758658,51.446085,CAT-108,-3,Copernicus_EEA-10_v5,Green,A,,491.4,None,Blended,41.3,10,low_lying
SEG-00693,"Riyadh, Saudi Arabia",Borough Delta,24.644576,46.611099,CAT-103,57.61,SRTM_1arc,Residential,D,7.08,155.2,CurbInlet,Blended,34.5,2,monitor
SEG-00694,"Durban, South Africa",District 8,-29.815039,31.04753,CAT-031,119.77,Copernicus_GLO-30_v2023,Residential,,5.78,59.6,Manhole,ERA5,41.6,2,monitor
SEG-00695,"Hyderabad, India",Ward H,17.331043,78.565398,CAT-014,78.02,Copernicus_EEA-10_v5,Residential,C,4.74,79,Manhole,LocalGauge,19.3,2,monitor
SEG-00696,"Barcelona, Spain",Ward C,41.378569,2.195392,CAT-163,-3,SRTM_3arc,Commercial,C,6.93,15.3,CurbInlet,LocalGauge,40.6,5,ponding_hotspot|low_lying
SEG-00697,"Doha, Qatar",Borough Hillside,25.367712,51.612383,CAT-099,-3,Copernicus_GLO-30_v2023,Commercial,,6.93,34.3,GratedInlet,ERA5,17.6,2,low_lying
SEG-00698,"Pune, India",Sector 4,18.59539,73.877415,CAT-161,69.81,SRTM_3arc,Commercial,B,8.98,67.8,CurbInlet,ERA5,35,2,monitor
SEG-00699,"Barcelona, Spain",Borough Hillside,41.487391,2.1067,CAT-168,19.71,Copernicus_EEA-10_v5,Green,B,5.38,121.4,CurbInlet,Blended,17.5,5,monitor
SEG-00700,"Tehran, Iran",Ward F,35.644842,51.444996,CAT-138,195.41,SRTM_1arc,Residential,C,3.28,117.9,OpenChannel,IMD,20.2,10,monitor
SEG-00701,"Accra, Ghana",Zone X,5.406643,-0.293439,CAT-068,21.36,Copernicus_GLO-30_v2023,Residential,B,6.03,15.8,Manhole,ERA5,31.7,5,monitor
SEG-00702,"Nairobi, Kenya",Zone II,-1.251216,36.960553,CAT-066,106.5,SRTM_1arc,Roads,B,6.95,37.9,GratedInlet,ERA5,24.6,5,monitor
SEG-00703,"Shanghai, China",Zone V,31.122104,121.5664,CAT-098,14.72,SRTM_3arc,Roads,D,2.67,148.9,CurbInlet,LocalGauge,49.9,10,sparse_drainage
SEG-00704,"Houston, USA",Ward K,29.8199,-95.298084,CAT-108,-3,Copernicus_GLO-30_v2023,Industrial,A,7.32,32.6,Manhole,ERA5,61.2,25,low_lying
SEG-00705,"Sao Paulo, Brazil",Sector 21,-23.572479,-46.531559,CAT-090,46.02,Copernicus_GLO-30_v2023,Residential,A,,57.6,CurbInlet,Blended,42.2,100,monitor
SEG-00706,"Shenzhen, China",Borough Riverside,22.683999,114.045831,CAT-153,2.84,Copernicus_GLO-30_v2023,Roads,C,4.05,,Manhole,ERA5,72.8,100,ponding_hotspot|low_lying|event_2025-04-29
SEG-00707,"Shanghai, China",Borough North,31.29294,121.36865,CAT-084,1.04,Copernicus_EEA-10_v5,Residential,D,6.57,58.9,Manhole,Blended,33.5,100,ponding_hotspot|low_lying
SEG-00708,"Singapore, Singapore",Ward I,1.346743,103.689947,CAT-050,11.2,Copernicus_GLO-90_v2022,Roads,D,6.54,103.1,CurbInlet,LocalGauge,86.4,25,extreme_rain_history
SEG-00709,"Paris, France",Zone V,48.821159,2.332728,CAT-130,65.9,SRTM_1arc,Residential,D,,121.9,OpenChannel,ERA5,74.5,50,monitor
SEG-00710,"Kolkata, India",District 13,22.553199,88.374015,CAT-073,9.75,Copernicus_GLO-30_v2023,Roads,C,5.86,43.5,Manhole,ERA5,34.9,2,monitor
SEG-00711,"Athens, Greece",Ward A,37.995071,23.774247,CAT-059,50.78,SRTM_3arc,Commercial,B,7.52,,GratedInlet,Blended,13.6,5,monitor
SEG-00712,"Tokyo, Japan",Zone X,35.654081,139.797701,CAT-046,,SRTM_1arc,Industrial,C,10.18,,CurbInlet,ERA5,60.5,25,monitor
SEG-00713,"Durban, South Africa",Ward E,-29.857573,30.989136,CAT-019,63.37,Copernicus_GLO-90_v2022,Informal,B,5.58,,CurbInlet,LocalGauge,62.6,5,monitor
SEG-00714,"Bangkok, Thailand",Borough Old Town,13.727514,100.519369,CAT-066,10.42,Copernicus_GLO-30_v2023,Roads,D,7.73,35.8,CurbInlet,ERA5,64.9,2,monitor|event_2025-04-25
SEG-00715,"Mexico City, Mexico",Ward I,19.491075,-99.153614,CAT-052,,Copernicus_GLO-30_v2023,Industrial,C,9.32,101.2,GratedInlet,ERA5,56.7,5,monitor
SEG-00716,"Kolkata, India",Borough West,22.491177,88.492678,CAT-086,48.97,Copernicus_GLO-30_v2023,Roads,D,,139.3,GratedInlet,IMD,40.1,25,monitor
SEG-00717,"Rotterdam, Netherlands",Sector 7,52.011402,4.516424,CAT-118,12.67,SRTM_1arc,Roads,C,6.67,60.5,Manhole,ERA5,16.2,25,monitor
