latitude,longitude,elevation,drainage_density,storm_drain_distance,rainfall_intensity,return_period,city_name,admin_ward,dem_source,land_use,soil_group,storm_drain_type,rainfall_source,flood_risk_level
28.606539,77.216364,26.32,4.8,138.1,38.1,10,"Delhi, India",Zone III,Copernicus_EEA-10_v5,Residential,D,Manhole,ERA5,Low
-12.013189,-77.130811,70.86,7.04,60.3,25.9,5,"Lima, Peru",Borough West,Copernicus_GLO-30_v2023,Residential,C,Manhole,ERA5,Low
24.719017,46.682121,82.21,4.95,50.9,23.5,2,"Riyadh, Saudi Arabia",Ward G,SRTM_3arc,Residential,D,CurbInlet,LocalGauge,Low
29.651242,-95.412267,73.46,,106.2,26.6,100,"Houston, USA",Ward J,SRTM_1arc,Water,C,OpenChannel,IMD,Low
25.537524,-80.128377,3.14,7.46,17.7,42.6,2,"Miami, USA",District 27,SRTM_3arc,Roads,B,CurbInlet,Blended,High
-34.627246,-58.388426,63.96,,112.2,23.1,5,"Buenos Aires, Argentina",Ward F,SRTM_3arc,Institutional,,OpenChannel,ERA5,Low
22.520157,88.397401,47.58,4.62,34.2,32.1,5,"Kolkata, India",District 16,Copernicus_GLO-90_v2022,Roads,A,Manhole,ERA5,Low
22.985887,72.557328,45.9,5.19,534.9,22.5,2,"Ahmedabad, India",Borough Delta,SRTM_3arc,Residential,,,ERA5,Low
4.629459,-74.171628,39.12,6.44,74.0,33.6,10,"Bogotá, Colombia",District 28,SRTM_3arc,Residential,,CurbInlet,,Low
10.798115,106.624649,62.7,7.56,102.7,44.5,5,"Ho Chi Minh City, Vietnam",District 4,SRTM_1arc,Residential,D,CurbInlet,Blended,Low
51.585334,-0.186248,65.23,11.53,105.0,35.5,25,"London, UK",District 20,Copernicus_GLO-30_v2023,Industrial,B,Manhole,LocalGauge,Low
-23.490872,-46.688,90.88,6.55,145.5,45.7,50,"Sao Paulo, Brazil",Borough Delta,Copernicus_EEA-10_v5,Water,D,CurbInlet,LocalGauge,Low
-27.594232,153.051539,39.23,8.0,452.9,46.4,10,"Brisbane, Australia",Ward D,SRTM_3arc,Roads,D,,ERA5,Low
28.474057,77.275373,25.35,8.39,105.3,73.4,2,"Delhi, India",Zone VII,Copernicus_EEA-10_v5,Roads,A,CurbInlet,IMD,Low
38.852504,-77.125967,53.67,5.35,67.8,27.4,5,"Washington DC, USA",Borough Central,Copernicus_GLO-30_v2023,Roads,A,CurbInlet,ERA5,Low
-27.579448,153.024699,31.26,3.74,94.6,32.0,10,"Brisbane, Australia",Zone I,Copernicus_GLO-90_v2022,Residential,C,OpenChannel,LocalGauge,Low
-6.152623,106.814964,18.04,6.62,105.6,92.4,10,"Jakarta, Indonesia",Ward I,Copernicus_EEA-10_v5,Mixed,B,GratedInlet,ERA5,Moderate
40.937471,28.979683,28.07,6.48,46.1,30.8,25,"Istanbul, Türkiye",Sector 4,Copernicus_EEA-10_v5,Mixed,A,CurbInlet,Blended,Low
55.764115,12.677596,43.28,6.35,196.5,42.7,2,"Copenhagen, Denmark",Ward H,Copernicus_GLO-30_v2023,Institutional,B,Manhole,Blended,Low
-27.481354,152.990227,66.69,,48.7,29.2,100,"Brisbane, Australia",Ward H,Copernicus_GLO-90_v2022,Commercial,D,Manhole,LocalGauge,Low
14.580626,120.972563,12.81,7.21,116.0,45.6,5,"Manila, Philippines",Sector 29,Copernicus_EEA-10_v5,Roads,C,Manhole,LocalGauge,Low
35.732164,51.308007,153.62,8.28,76.2,25.0,5,"Tehran, Iran",Borough East,SRTM_3arc,Green,B,Manhole,,Low
45.561721,-73.576497,20.42,4.84,307.4,30.9,5,"Montreal, Canada",Sector 25,Copernicus_GLO-30_v2023,Residential,B,OpenChannel,ERA5,Low
14.596204,120.999189,12.9,8.16,188.9,72.2,100,"Manila, Philippines",Sector 13,SRTM_1arc,Institutional,A,GratedInlet,IMD,Low
6.896563,79.930291,7.28,6.47,180.4,72.1,100,"Colombo, Sri Lanka",District 1,SRTM_3arc,Commercial,A,OpenChannel,IMD,High
28.61063,77.220405,38.36,6.63,84.6,17.4,10,"Delhi, India",District 20,SRTM_3arc,Residential,D,GratedInlet,LocalGauge,Low
-33.763674,151.221566,5.3,8.91,17.5,22.0,5,"Sydney, Australia",Zone V,Copernicus_GLO-30_v2023,Industrial,A,OpenChannel,LocalGauge,High
37.766779,-122.444108,138.14,2.72,130.5,30.6,5,"San Francisco, USA",District 30,SRTM_1arc,Commercial,B,CurbInlet,LocalGauge,Moderate
19.306104,-99.205012,25.32,5.18,,28.6,10,"Mexico City, Mexico",Sector 16,Copernicus_GLO-90_v2022,Residential,B,GratedInlet,ERA5,Low
22.317463,114.093507,10.86,2.12,87.5,92.8,25,"Hong Kong, China",Borough North,SRTM_1arc,Residential,A,OpenChannel,ERA5,Moderate
22.240192,114.176122,0.32,8.46,169.9,45.1,5,"Hong Kong, China",Zone VI,Copernicus_GLO-30_v2023,Green,C,Manhole,ERA5,High
38.759045,-76.97608,67.25,3.77,96.6,69.6,25,"Washington DC, USA",Zone VII,SRTM_1arc,Residential,B,Manhole,ERA5,Low
-6.324934,106.859177,9.54,1.55,183.0,30.3,25,"Jakarta, Indonesia",Ward D,SRTM_1arc,Green,A,CurbInlet,IMD,Very High
21.035559,105.920071,68.23,9.3,93.5,28.5,5,"Hanoi, Vietnam",Borough Central,SRTM_1arc,Industrial,A,Manhole,IMD,Low
-33.865647,18.430122,28.94,4.42,395.6,23.7,10,"Cape Town, South Africa",Zone IV,Copernicus_EEA-10_v5,Green,B,,LocalGauge,Low
34.721611,135.558988,184.73,6.17,85.7,19.2,5,"Osaka, Japan",Borough East,SRTM_1arc,Commercial,D,CurbInlet,Blended,Low
37.795409,-122.388788,120.11,6.28,48.5,42.8,10,"San Francisco, USA",Sector 22,Copernicus_GLO-30_v2023,Roads,B,Manhole,ERA5,Low
6.501173,3.283095,18.03,4.97,,117.7,25,"Lagos, Nigeria",District 29,Copernicus_GLO-90_v2022,Commercial,D,OpenChannel,ERA5,Very High
1.315637,103.746955,13.8,10.34,248.2,112.1,100,"Singapore, Singapore",Zone VI,Copernicus_GLO-30_v2023,Commercial,A,OpenChannel,ERA5,Moderate
55.713355,12.645131,27.92,7.85,98.7,24.2,100,"Copenhagen, Denmark",Ward D,Copernicus_GLO-90_v2022,Institutional,D,GratedInlet,ERA5,Low
31.28627,121.614967,-1.22,8.41,75.2,23.4,2,"Shanghai, China",Zone IX,SRTM_1arc,Industrial,A,GratedInlet,ERA5,High
19.415568,-99.113015,4.99,,41.7,23.3,10,"Mexico City, Mexico",Zone III,SRTM_1arc,Residential,A,GratedInlet,ERA5,High
17.430776,78.427127,72.95,10.76,76.0,61.7,10,"Hyderabad, India",District 22,SRTM_3arc,Roads,A,CurbInlet,ERA5,Low
35.804241,51.460545,105.71,9.62,83.1,22.7,50,"Tehran, Iran",District 7,Copernicus_GLO-90_v2022,Roads,A,CurbInlet,IMD,Low
41.278274,2.172359,18.16,6.17,104.5,56.7,10,"Barcelona, Spain",Borough Hillside,SRTM_3arc,Industrial,C,GratedInlet,ERA5,Low
-36.754422,174.786971,71.57,6.32,121.9,28.9,5,"Auckland, New Zealand",Borough North,SRTM_3arc,Residential,D,CurbInlet,ERA5,Low
39.912384,-75.199868,3.04,6.73,154.4,26.2,2,"Philadelphia, USA",Borough Riverside,Copernicus_GLO-30_v2023,Residential,A,Manhole,LocalGauge,High
-36.906351,174.781978,52.78,6.88,64.7,50.4,5,"Auckland, New Zealand",Sector 29,SRTM_1arc,Roads,D,Manhole,ERA5,Low
31.204901,121.37452,18.14,9.05,152.9,20.0,2,"Shanghai, China",Ward D,Copernicus_GLO-30_v2023,Roads,C,Manhole,ERA5,Low
40.681317,-73.940127,81.04,2.3,175.3,26.0,100,"New York, USA",Borough West,Copernicus_GLO-90_v2022,Green,D,Manhole,ERA5,Very High
23.194476,113.323728,31.67,6.17,18.8,91.9,10,"Guangzhou, China",District 13,SRTM_1arc,Industrial,D,,ERA5,Moderate
51.940462,4.526032,15.9,5.32,174.9,45.0,25,"Rotterdam, Netherlands",Sector 24,Copernicus_GLO-30_v2023,Water,C,Manhole,LocalGauge,Low
40.674152,-74.078822,90.8,6.08,2.8,55.8,25,"New York, USA",District 22,SRTM_1arc,Residential,B,Manhole,ERA5,Low
-29.845824,30.983056,34.24,3.89,264.1,42.8,50,"Durban, South Africa",Sector 18,SRTM_3arc,Residential,A,OpenChannel,ERA5,Low
31.231464,121.511649,20.15,6.92,173.1,21.8,10,"Shanghai, China",District 29,Copernicus_EEA-10_v5,Green,C,Manhole,IMD,Low
10.810168,106.74245,55.51,8.08,20.2,60.7,10,"Ho Chi Minh City, Vietnam",Sector 17,SRTM_3arc,Commercial,C,CurbInlet,ERA5,Low
25.26908,51.454484,-3.0,8.23,29.7,11.1,5,"Doha, Qatar",Ward H,Copernicus_EEA-10_v5,Commercial,C,CurbInlet,,High
6.543747,3.404901,13.3,7.11,263.3,30.5,5,"Lagos, Nigeria",Sector 10,Copernicus_GLO-30_v2023,Mixed,C,OpenChannel,Blended,Low
24.766211,66.949411,153.18,5.97,69.8,37.6,5,"Karachi, Pakistan",Zone VI,Copernicus_EEA-10_v5,Commercial,A,GratedInlet,LocalGauge,Low
20.912104,105.867921,19.06,8.93,7.1,75.3,10,"Hanoi, Vietnam",Zone VIII,Copernicus_EEA-10_v5,Commercial,D,Manhole,ERA5,Low
5.533865,-0.17985,4.25,8.11,68.5,52.7,5,"Accra, Ghana",Sector 22,SRTM_3arc,Residential,,Manhole,ERA5,High
24.884091,66.979347,,10.38,29.8,32.2,5,"Karachi, Pakistan",Sector 16,SRTM_3arc,Commercial,,CurbInlet,IMD,Low
18.534222,73.866687,88.87,4.19,96.5,61.1,5,"Pune, India",District 21,Copernicus_GLO-30_v2023,Industrial,C,Manhole,,Low
51.881245,4.365565,3.05,4.46,301.6,27.5,5,"Rotterdam, Netherlands",Borough Riverside,Copernicus_GLO-30_v2023,Commercial,D,OpenChannel,,High
3.14246,101.595691,,6.01,224.0,37.8,5,"Kuala Lumpur, Malaysia",Ward H,Copernicus_GLO-30_v2023,Residential,,OpenChannel,LocalGauge,Low
4.813303,-74.109123,-3.0,8.05,31.4,74.6,10,"Bogotá, Colombia",District 5,SRTM_3arc,Roads,C,OpenChannel,Blended,High
6.508141,3.298996,8.5,5.61,428.5,59.1,5,"Lagos, Nigeria",District 15,Copernicus_GLO-30_v2023,Institutional,C,OpenChannel,LocalGauge,Low
19.271991,-99.149248,29.67,,138.8,52.8,10,"Mexico City, Mexico",Zone II,Copernicus_GLO-30_v2023,Green,C,CurbInlet,,Low
-22.904297,-43.189026,4.83,7.89,35.4,60.8,5,"Rio de Janeiro, Brazil",Ward D,Copernicus_GLO-90_v2022,Industrial,C,CurbInlet,ERA5,High
40.754127,-74.01989,43.08,8.24,1.1,26.2,10,"New York, USA",Sector 28,Copernicus_GLO-90_v2022,Commercial,C,Manhole,ERA5,Low
-12.123887,-77.002131,-3.0,7.33,113.2,39.7,5,"Lima, Peru",District 25,Copernicus_GLO-30_v2023,Commercial,,GratedInlet,ERA5,High
39.948152,-75.208126,8.68,7.66,168.4,48.6,10,"Philadelphia, USA",Ward J,Copernicus_EEA-10_v5,Residential,D,CurbInlet,IMD,Low
19.474703,-99.216335,6.02,,74.1,36.0,5,"Mexico City, Mexico",Sector 14,SRTM_1arc,Commercial,D,GratedInlet,ERA5,High
-36.845287,174.804366,-3.0,6.59,,49.5,25,"Auckland, New Zealand",Zone IX,SRTM_1arc,Industrial,B,GratedInlet,ERA5,Very High
-22.836778,-43.136778,6.21,7.6,18.9,114.3,25,"Rio de Janeiro, Brazil",Zone VIII,Copernicus_GLO-90_v2022,Commercial,B,Manhole,LocalGauge,High
6.916385,79.909313,13.54,8.03,,42.0,25,"Colombo, Sri Lanka",Ward B,SRTM_1arc,Residential,,Manhole,ERA5,Low
4.779081,-73.966649,162.64,6.93,,30.7,50,"Bogotá, Colombia",Borough Delta,Copernicus_GLO-90_v2022,Institutional,D,GratedInlet,,Low
41.249273,2.106402,15.9,5.35,64.9,28.4,100,"Barcelona, Spain",District 27,Copernicus_EEA-10_v5,Commercial,B,GratedInlet,ERA5,Low
29.797916,-90.173499,5.78,1.61,,20.4,10,"New Orleans, USA",Sector 12,Copernicus_EEA-10_v5,Green,C,Manhole,Blended,Very High
41.90263,12.603663,17.51,3.09,97.1,55.3,2,"Rome, Italy",Ward J,SRTM_1arc,Residential,A,Manhole,LocalGauge,Low
-33.781413,151.287487,10.54,9.32,18.8,27.4,10,"Sydney, Australia",Borough North,Copernicus_GLO-30_v2023,Roads,D,GratedInlet,ERA5,Low
53.572863,10.003167,85.39,4.49,236.8,44.8,2,"Hamburg, Germany",District 11,SRTM_1arc,Commercial,,OpenChannel,Blended,Low
45.404999,-73.668635,20.34,6.14,90.2,31.5,10,"Montreal, Canada",Sector 19,Copernicus_GLO-30_v2023,Commercial,B,Manhole,Blended,Low
37.74768,-122.4196,51.19,9.18,6.4,66.6,5,"San Francisco, USA",Borough Old Town,Copernicus_EEA-10_v5,Commercial,A,CurbInlet,,Low
22.868325,72.681198,16.6,5.45,,44.8,5,"Ahmedabad, India",Borough Harbor,Copernicus_EEA-10_v5,Commercial,B,Manhole,ERA5,Low
38.868676,-76.914202,50.0,,262.4,30.8,25,"Washington DC, USA",Borough East,Copernicus_EEA-10_v5,Commercial,B,,ERA5,Low
-33.844943,151.206241,11.09,4.96,95.6,25.4,2,"Sydney, Australia",Sector 25,Copernicus_GLO-30_v2023,Residential,D,CurbInlet,ERA5,Low
24.982903,121.51752,66.0,6.13,,39.3,2,"Taipei, Taiwan",Zone VII,Copernicus_EEA-10_v5,Residential,C,GratedInlet,LocalGauge,Low
22.960969,72.685001,108.51,5.83,,19.0,25,"Ahmedabad, India",District 22,Copernicus_EEA-10_v5,Roads,B,Manhole,LocalGauge,Low
28.514671,77.269901,5.1,10.31,76.2,22.8,5,"Delhi, India",Zone IX,Copernicus_GLO-30_v2023,Roads,C,Manhole,ERA5,High
25.678838,-80.202161,6.44,6.92,7.3,56.2,2,"Miami, USA",District 9,Copernicus_EEA-10_v5,Industrial,B,Manhole,Blended,High
-29.920951,30.815061,25.6,4.42,95.2,20.7,50,"Durban, South Africa",Zone IX,SRTM_3arc,Industrial,B,Manhole,ERA5,Low
12.951546,77.590592,23.83,6.89,67.1,12.8,2,"Bengaluru, India",Borough Hillside,SRTM_1arc,Industrial,A,Manhole,ERA5,Low
-23.568287,-46.594212,89.76,7.43,48.6,71.9,5,"Sao Paulo, Brazil",Sector 3,Copernicus_EEA-10_v5,Roads,A,CurbInlet,ERA5,Low
41.953993,12.477547,3.13,7.21,,30.7,2,"Rome, Italy",Sector 22,Copernicus_EEA-10_v5,Industrial,C,Manhole,Blended,High
23.757532,90.45494,87.97,,227.1,60.3,10,"Dhaka, Bangladesh",District 6,SRTM_3arc,Industrial,B,OpenChannel,ERA5,Low
37.556529,126.903643,56.08,7.91,114.2,14.8,50,"Seoul, South Korea",Zone V,SRTM_1arc,Residential,D,OpenChannel,Blended,Low
55.603629,12.561082,57.29,4.33,82.4,27.9,5,"Copenhagen, Denmark",Borough Central,Copernicus_GLO-30_v2023,Roads,,OpenChannel,ERA5,Low
10.747546,106.631158,-3.0,8.58,51.5,37.6,2,"Ho Chi Minh City, Vietnam",Sector 21,SRTM_1arc,Commercial,D,Manhole,ERA5,High
12.925997,77.557958,77.8,10.38,124.8,49.1,5,"Bengaluru, India",Zone VIII,Copernicus_EEA-10_v5,Roads,C,Manhole,LocalGauge,Low
19.393113,-99.061427,49.8,2.56,38.1,16.7,2,"Mexico City, Mexico",Sector 30,Copernicus_GLO-30_v2023,Residential,B,,,Moderate
39.925268,-75.054709,64.94,10.06,259.5,19.5,5,"Philadelphia, USA",Zone I,SRTM_1arc,Roads,,OpenChannel,LocalGauge,Low
35.620389,139.643584,0.07,3.43,20.8,33.5,2,"Tokyo, Japan",District 19,SRTM_1arc,Residential,C,,Blended,High
21.006476,105.942706,113.21,8.24,81.9,31.5,100,"Hanoi, Vietnam",Sector 12,SRTM_1arc,Industrial,D,Manhole,ERA5,Low
25.122588,55.39583,36.63,8.43,23.4,6.8,10,"Dubai, UAE",Zone VII,SRTM_1arc,Roads,C,CurbInlet,LocalGauge,Low
29.730955,-95.322082,86.6,3.27,395.8,41.1,10,"Houston, USA",Ward B,SRTM_1arc,Residential,D,OpenChannel,ERA5,Low
23.923904,90.468239,26.17,,140.8,36.1,2,"Dhaka, Bangladesh",Sector 26,Copernicus_GLO-30_v2023,Industrial,,Manhole,Blended,Low
53.501197,10.048665,21.39,4.08,447.1,40.8,5,"Hamburg, Germany",Sector 20,Copernicus_GLO-90_v2022,Roads,C,,Blended,Low
55.77711,12.547938,0.43,,92.1,16.2,10,"Copenhagen, Denmark",District 7,Copernicus_GLO-90_v2022,Roads,A,Manhole,IMD,High
23.792503,90.411199,,9.18,12.7,51.4,10,"Dhaka, Bangladesh",Sector 14,Copernicus_GLO-30_v2023,Commercial,,GratedInlet,LocalGauge,Low
41.857669,12.587619,27.84,9.42,463.5,56.9,25,"Rome, Italy",Zone IX,SRTM_1arc,Informal,D,,IMD,Low
48.866111,2.290553,78.32,5.49,27.5,57.6,10,"Paris, France",Sector 27,Copernicus_GLO-30_v2023,Green,,CurbInlet,ERA5,Low
28.569599,77.120234,35.69,4.59,38.1,35.2,2,"Delhi, India",Ward I,Copernicus_GLO-30_v2023,Residential,C,CurbInlet,ERA5,Low
13.011788,77.531957,56.03,6.48,360.6,46.7,5,"Bengaluru, India",Zone VI,Copernicus_GLO-30_v2023,Commercial,B,OpenChannel,IMD,Low
21.128703,105.855087,-0.36,4.47,462.7,55.1,50,"Hanoi, Vietnam",Sector 6,Copernicus_GLO-30_v2023,Green,D,OpenChannel,,High
53.625213,10.029828,17.3,3.35,231.3,45.1,5,"Hamburg, Germany",District 1,Copernicus_GLO-30_v2023,Residential,,OpenChannel,,Low
-22.827474,-43.151841,7.9,9.1,161.2,55.5,5,"Rio de Janeiro, Brazil",Ward E,Copernicus_EEA-10_v5,Commercial,C,OpenChannel,ERA5,High
6.616109,3.350403,-3.0,3.97,126.3,88.8,25,"Lagos, Nigeria",District 2,SRTM_3arc,Industrial,D,CurbInlet,IMD,High
5.593634,-0.182098,5.71,10.1,,65.3,10,"Accra, Ghana",Zone V,SRTM_3arc,Roads,D,CurbInlet,Blended,Very High
-36.929847,174.763748,61.1,4.11,283.8,40.1,2,"Auckland, New Zealand",Ward F,SRTM_3arc,Residential,B,OpenChannel,ERA5,Low
29.880213,-89.982476,12.5,5.33,79.0,22.3,10,"New Orleans, USA",Borough East,SRTM_1arc,Residential,A,Manhole,LocalGauge,Low
37.695517,-122.400306,-3.0,8.47,38.4,50.3,50,"San Francisco, USA",Zone VI,Copernicus_GLO-30_v2023,Residential,,GratedInlet,ERA5,High
37.655403,-122.424232,58.9,7.87,146.0,30.1,2,"San Francisco, USA",Sector 28,Copernicus_GLO-30_v2023,Roads,A,OpenChannel,IMD,Low
6.965006,79.861194,13.19,4.02,88.5,72.3,10,"Colombo, Sri Lanka",Sector 26,SRTM_1arc,Residential,D,Manhole,IMD,Low
40.663617,-73.940983,38.12,4.86,87.2,18.8,10,"New York, USA",District 9,Copernicus_GLO-30_v2023,Industrial,B,CurbInlet,IMD,Low
42.009736,12.572159,14.7,4.34,301.4,20.6,10,"Rome, Italy",Ward G,Copernicus_GLO-30_v2023,Water,C,GratedInlet,Blended,Low
13.120171,80.39711,4.96,7.08,205.0,40.3,25,"Chennai, India",Ward D,SRTM_3arc,Industrial,A,,Blended,High
23.052291,72.461573,60.3,3.95,186.7,57.5,25,"Ahmedabad, India",Zone X,SRTM_3arc,Residential,C,GratedInlet,LocalGauge,Low
24.830144,67.025476,-3.0,6.74,147.5,27.4,2,"Karachi, Pakistan",District 12,Copernicus_GLO-30_v2023,Water,A,GratedInlet,ERA5,High
41.211432,2.109194,10.29,2.92,104.3,43.4,25,"Barcelona, Spain",District 23,Copernicus_EEA-10_v5,Green,C,OpenChannel,ERA5,Moderate
34.547845,135.516497,87.14,7.98,29.7,24.9,25,"Osaka, Japan",Ward F,Copernicus_GLO-30_v2023,Commercial,A,GratedInlet,ERA5,Low
29.653301,-95.425304,71.28,5.94,52.5,30.7,5,"Houston, USA",Sector 18,Copernicus_GLO-30_v2023,Residential,,Manhole,Blended,Low
22.45687,114.213275,-3.0,9.55,40.1,96.0,2,"Shenzhen, China",Ward I,Copernicus_GLO-90_v2022,Commercial,D,GratedInlet,LocalGauge,High
23.822366,90.352225,-3.0,7.74,5.5,39.5,5,"Dhaka, Bangladesh",Zone III,Copernicus_GLO-30_v2023,Commercial,A,OpenChannel,ERA5,High
51.545199,-0.122036,30.33,7.8,46.1,36.5,25,"London, UK",Borough Hillside,Copernicus_GLO-30_v2023,Residential,D,CurbInlet,Blended,Low
49.192106,-123.270287,22.95,5.71,164.6,26.4,50,"Vancouver, Canada",District 30,Copernicus_GLO-30_v2023,Residential,D,,Blended,Low
25.727049,-80.122735,7.34,,47.1,149.5,50,"Miami, USA",Sector 16,Copernicus_EEA-10_v5,Roads,B,GratedInlet,ERA5,Very High
38.859685,-76.977323,30.07,5.5,61.8,18.6,25,"Washington DC, USA",Zone V,Copernicus_GLO-30_v2023,Industrial,B,GratedInlet,ERA5,Low
53.507634,9.948713,9.81,4.9,30.4,28.7,5,"Hamburg, Germany",Ward H,SRTM_1arc,Commercial,B,GratedInlet,LocalGauge,Low
38.876307,-77.06297,69.8,4.37,68.1,28.8,5,"Washington DC, USA",Borough Riverside,Copernicus_GLO-90_v2022,Commercial,B,OpenChannel,ERA5,Low
25.371948,51.438038,79.74,7.27,57.4,11.8,10,"Doha, Qatar",District 12,SRTM_1arc,Residential,D,GratedInlet,ERA5,Low
49.197153,-123.216684,8.05,3.98,12.7,74.0,100,"Vancouver, Canada",Sector 7,Copernicus_EEA-10_v5,Roads,B,Manhole,ERA5,Low
1.297866,103.645443,21.73,,205.3,68.0,2,"Singapore, Singapore",Zone II,SRTM_1arc,Residential,A,OpenChannel,LocalGauge,Low
23.723479,90.2893,120.63,9.66,60.4,50.0,2,"Dhaka, Bangladesh",Ward K,Copernicus_GLO-30_v2023,Roads,C,GratedInlet,IMD,Low
12.970835,77.602844,88.37,2.99,138.1,40.6,5,"Bengaluru, India",Borough Old Town,Copernicus_GLO-30_v2023,Residential,,Manhole,Blended,Very High
28.530066,77.246917,-3.0,4.87,85.9,21.6,25,"Delhi, India",Borough Central,Copernicus_GLO-30_v2023,Roads,D,Manhole,ERA5,High
39.963861,-75.125059,65.99,8.53,,33.1,10,"Philadelphia, USA",Zone V,Copernicus_EEA-10_v5,Roads,A,GratedInlet,LocalGauge,Low
25.324283,51.587106,40.23,5.58,199.5,13.1,10,"Doha, Qatar",Zone II,Copernicus_GLO-30_v2023,Mixed,,OpenChannel,ERA5,Low
37.961692,23.754627,7.94,,58.4,20.2,5,"Athens, Greece",Borough Old Town,Copernicus_GLO-30_v2023,Commercial,D,CurbInlet,Blended,High
23.100636,72.610165,59.62,4.5,39.8,21.6,2,"Ahmedabad, India",Zone IX,SRTM_1arc,Residential,B,Manhole,ERA5,Low
3.215749,101.746824,51.92,4.94,94.5,138.4,10,"Kuala Lumpur, Malaysia",Ward D,SRTM_1arc,Roads,A,CurbInlet,ERA5,Moderate
24.656836,46.608665,16.51,3.27,221.3,17.2,2,"Riyadh, Saudi Arabia",Zone VIII,Copernicus_EEA-10_v5,Green,A,CurbInlet,ERA5,Low
-22.940329,-43.113132,9.35,7.13,31.3,113.1,10,"Rio de Janeiro, Brazil",Sector 15,SRTM_1arc,Residential,B,Manhole,ERA5,Moderate
24.933147,67.016084,94.83,5.31,,28.9,5,"Karachi, Pakistan",District 5,Copernicus_GLO-30_v2023,Roads,B,OpenChannel,Blended,Low
41.331471,2.202911,11.11,5.46,102.2,27.8,2,"Barcelona, Spain",Sector 29,Copernicus_GLO-30_v2023,Commercial,,GratedInlet,ERA5,Low
5.566433,-0.221917,11.47,4.34,39.1,61.7,25,"Accra, Ghana",Ward C,Copernicus_GLO-90_v2022,Residential,C,OpenChannel,Blended,Low
35.65908,51.323983,86.31,6.37,183.8,55.5,10,"Tehran, Iran",Sector 12,Copernicus_GLO-30_v2023,Water,D,CurbInlet,IMD,Low
37.716087,-122.341944,63.6,3.21,179.6,36.0,10,"San Francisco, USA",Ward K,Copernicus_GLO-90_v2022,Residential,C,Manhole,ERA5,Low
48.733852,2.306346,74.7,6.73,71.1,17.0,5,"Paris, France",District 12,SRTM_1arc,Roads,C,Manhole,ERA5,Low
-33.939786,18.361097,115.2,,177.0,16.1,10,"Cape Town, South Africa",Borough West,Copernicus_GLO-30_v2023,Residential,D,OpenChannel,ERA5,Low
-30.023547,31.128908,-3.0,5.41,40.5,46.8,10,"Durban, South Africa",Ward F,SRTM_1arc,Roads,B,CurbInlet,,High
-23.653911,-46.666966,77.69,5.33,,37.9,2,"Sao Paulo, Brazil",Borough Central,Copernicus_GLO-90_v2022,Residential,B,CurbInlet,ERA5,Low
37.554751,126.972007,-3.0,8.51,62.5,70.3,50,"Seoul, South Korea",Ward F,Copernicus_GLO-30_v2023,Roads,C,GratedInlet,,Very High
22.598464,113.977979,9.57,4.86,69.2,44.7,50,"Shenzhen, China",Zone IX,Copernicus_EEA-10_v5,Residential,B,Manhole,IMD,Low
19.080762,72.795554,-2.8,4.08,141.6,41.5,25,"Mumbai, India",Zone X,Copernicus_GLO-30_v2023,Residential,D,Manhole,LocalGauge,High
-33.827695,18.397607,,8.04,28.8,49.5,25,"Cape Town, South Africa",Zone VI,SRTM_1arc,Roads,C,Manhole,LocalGauge,Low
52.318933,5.087657,18.79,,85.6,40.8,5,"Amsterdam, Netherlands",District 7,Copernicus_GLO-30_v2023,Commercial,B,CurbInlet,IMD,Low
42.032416,12.493229,41.3,3.01,184.3,37.1,50,"Rome, Italy",Ward E,SRTM_1arc,Institutional,B,CurbInlet,ERA5,Low
35.672686,139.679858,25.71,4.98,16.5,25.6,10,"Tokyo, Japan",District 17,SRTM_1arc,Industrial,A,OpenChannel,Blended,Low
45.509106,-73.484677,75.53,7.97,138.1,56.3,5,"Montreal, Canada",Zone V,SRTM_1arc,Commercial,B,CurbInlet,ERA5,Low
37.633209,126.948871,54.21,,61.4,53.8,2,"Seoul, South Korea",Sector 22,SRTM_1arc,Industrial,B,CurbInlet,,Low
35.62683,139.53682,-3.0,6.41,111.0,33.9,5,"Tokyo, Japan",Zone VI,Copernicus_EEA-10_v5,Residential,A,Manhole,ERA5,High
22.57244,88.30154,10.16,10.15,89.1,55.2,10,"Kolkata, India",Ward A,SRTM_3arc,Commercial,B,CurbInlet,Blended,Low
-1.319528,36.823379,53.02,5.2,26.6,17.8,50,"Nairobi, Kenya",Borough East,SRTM_1arc,Commercial,C,CurbInlet,IMD,Low
13.113856,80.371556,6.88,5.16,51.8,70.3,10,"Chennai, India",Ward C,SRTM_3arc,Residential,B,GratedInlet,Blended,High
13.873456,100.35958,0.56,8.26,365.9,69.3,50,"Bangkok, Thailand",Borough West,Copernicus_EEA-10_v5,Commercial,,OpenChannel,IMD,High
51.951031,4.387465,-0.06,5.57,276.0,21.5,10,"Rotterdam, Netherlands",Sector 28,SRTM_1arc,Green,D,Manhole,ERA5,High
29.918555,-95.299258,42.01,4.78,107.5,50.2,10,"Houston, USA",District 22,SRTM_3arc,Green,D,CurbInlet,ERA5,Low
10.83953,106.659697,63.85,,388.0,54.9,50,"Ho Chi Minh City, Vietnam",Sector 17,Copernicus_GLO-30_v2023,Roads,C,OpenChannel,ERA5,Low
35.620812,51.37742,152.65,8.46,63.1,12.8,5,"Tehran, Iran",Sector 4,SRTM_1arc,Residential,A,Manhole,ERA5,Low
